Word, Definition
apothegm,"A terse, witty, instructive saying; a maxim."
exordial,"of or relating to an exordium, beginning or introduction"
besotted,infatuated
sinecure,A position or office that requires little or no work but provides a salary.
guilloche,Architecture   An ornamental border formed of two or more curved bands that interlace to repeat a circular design.
bereft,A past tense and a past participle of bereave.
ideogram,"A character or symbol representing an idea or a thing without expressing the pronunciation of a particular word or words for it, as in the traffic sign commonly used for ""no parking” or ""parking prohibited.” Also called ideograph."
leonine,"Of, relating to, or characteristic of a lion."
cajole,"To urge with gentle and repeated appeals, teasing, or flattery; wheedle."
tetanic,"Of, relating to, or causing tetanus."
aleatory,"Dependent on chance, luck, or an uncertain outcome:  an aleatory contract between an oil prospector and a landowner. "
ebullient,Zestfully enthusiastic.
tumid,Swollen; distended. Used of a body part or organ.
acme,"The highest point, as of achievement or development:  reached the acme of her career.  See Synonyms at summit."
liniment,A medicinal fluid rubbed into the skin to soothe pain or relieve stiffness.
furtive,Characterized by stealth; surreptitious.
surfeit,"To feed or supply to excess, satiety, or disgust."
sartorial,"Of or relating to a tailor, tailoring, or tailored clothing:  sartorial elegance. "
anachronistic,Erroneous in date; containing an anachronism; in a wrong time.
philatelic,of or relating to philately or of interest to philatelists
surly,Sullenly ill-humored; gruff.
phalanx,"A compact or close-knit body of people: ""formed a solid phalanx in defense of the Constitution and Protestant religion”  ( G.M. Trevelyan). "
appurtenance,"Something added to another, more important thing; an appendage. See Synonyms at appendage."
veneration,The act of venerating.
cognomen,A family name; a surname.
invective,Denunciatory or abusive language; vituperation.
vitiate,To reduce the value or impair the quality of.
eidetic,"Of, relating to, or marked by extraordinarily detailed and vivid recall of visual images."
astral,"Of, relating to, emanating from, or resembling the stars."
forcible,Effected against resistance through the use of force:  The police used forcible restraint in order to subdue the assailant. 
ersatz,"Being an imitation or a substitute, usually an inferior one; artificial:  ersatz coffee made mostly of chicory.  See Synonyms at artificial."
pomander,"A mixture of aromatic substances enclosed in a bag or box as a protection against odor or infection, formerly worn on one's person but now usually placed in a dresser drawer or closet."
desiccate,To dry out thoroughly.
hapless,Luckless; unfortunate. See Synonyms at unfortunate.
vestige,"A visible trace, evidence, or sign of something that once existed but exists or appears no more."
